,Global_PC1,Global_PC2,Global_PC3,Global_PC4,Global_PC5,Global_PC6,Global_PC7,Global_PC8,Global_PC9,Global_PC10,Global_PC11,Global_PC12,Global_PC13,Global_PC14,Global_PC15,Global_PC16,Global_PC17,Global_PC18,Global_PC19,Global_PC20,Global_PC21,Global_PC22,Global_PC23,Global_PC24,Global_PC25,Global_PC26,Global_PC27,Global_PC28,Global_PC29,Global_PC30,Global_PC31,Global_PC32,Global_PC33,Global_PC34,Global_PC35,Global_PC36,Global_PC37,Global_PC38,Global_PC39,Global_PC40,Global_PC41,Global_PC42,Global_PC43,Global_PC44,Global_PC45,Global_PC46,Global_PC47,Global_PC48,Global_PC49,Global_PC50,Global_PC51,Global_PC52,Global_PC53,Global_PC54,Global_PC55,Global_PC56,Global_PC57,Global_PC58,Global_PC59,Global_PC60,Global_PC61,Global_PC62,Global_PC63
Basic Materials_PC11,-0.020368155100935974,-0.1737579339474762,0.2887476515488449,-0.14315008796642092,0.08513204054502957,0.04671135235122565,0.17391816664968024,-0.17920336312709811,0.08192338790035066,-0.03381491246485738,-0.06060732103887954,-0.2024429496788721,0.1260443380635811,-0.02690879863393889,0.1804948478208749,-0.1697772334343037,-0.04691035069959866,-0.12429331371217572,-0.007796143071497608,-0.12244202510404906,0.39556733113269643,-0.2571769654872931,-0.06870311570091929,0.05987973159005104,-0.10225266841252678,0.04191314787222762,-0.20187915525066916,-0.007441357228910657,-0.2510933382920954,0.03933264738359398,-0.02325144345717844,0.21675279382233334,-0.02028618193369772,-0.05616666290505597,-0.0005570345781239154,0.060720313136168394,0.13105235924987585,0.043442265017566775,0.14129058625270538,0.01933656849547695,-0.09267195949970673,-0.05684820521755196,0.09458462252337087,0.13703973141746636,0.08605301520803817,0.01642952746589794,0.05853757923116811,0.17234475249452116,0.1495104759270639,0.09246868037686921,0.06094622401558325,0.03203448544766558,0.07210473286485122,-0.05712895070354208,0.0708126017561034,0.04411938154735746,-0.025749291659681435,0.006741615357787928,0.04910143679524006,0.04929888005191759,-0.047444263902402466,0.01968146189563666,0.0697722918737821
Basic Materials_PC12,0.040338861660748224,0.018786555811782086,-0.08889695631896084,0.08810906207197232,0.1959703667800933,-0.01070071916994615,0.16073141453425643,-0.29243253579231526,-0.10594680975901791,0.29919768804411584,-0.1427809586478232,-0.1259945164080737,0.12266535039156376,0.2169756407685302,0.33762028985494597,0.05035789264553401,-0.2169328118753359,0.10587751807493861,0.1763216275199337,0.33500975730953586,-0.112297598197533,0.03324975122788053,-0.07214749653222507,-0.020497584084645484,0.013506597852906711,-0.11341533056459066,-0.02030070977007599,-0.0162480015778527,0.1869923627578042,0.046047186131903436,0.14402263220355116,0.06482615327092849,-0.1415054555705051,-0.0470732658825812,0.06131729413510527,0.14064173318666368,-0.04000137274529248,-0.0636369015604873,-0.00016568643856076847,-0.061699329993235096,0.001699264414425969,-0.12305848523813627,-0.07117740448333183,0.015597400736804398,-0.03808214293128066,0.07073404101256477,0.041180697498962186,-0.02700435838659703,-0.026348976706608206,-0.1185184778280762,-0.09986661727599305,-0.008058539907929629,-0.013473866595032113,-0.08241103707612109,0.10646187624052181,0.03680943608125112,0.02912358769455729,0.050673704698348476,-0.008119910708689693,0.0953993474134933,0.16311923785308613,-0.04451563747120381,0.01343400113531877
Communication Services_PC1,0.8714667409544823,-0.1331916751352028,-0.05810166290516526,0.0493574528729725,-0.06666062143259183,-0.035980658670359454,0.026587248923722162,-0.07210852835715136,-0.09070214009317518,-0.05080496482524085,0.14040592030226412,0.011078075011574443,0.01797753587409882,-0.10349616956298945,-0.12964694281514058,0.0392846584046042,0.022294182785661167,-0.06571542636457745,0.08771255288484374,0.022797085169796557,-0.031432984879757174,0.01158105760978287,-0.009517145981783779,-0.12171116408533095,-0.10275091697718698,0.05474619122057944,0.04248110841296164,0.006726415026388908,-0.016037938505115864,-0.03517371379229799,0.048470703359840446,-0.048305131175102135,0.04509334444882349,0.0013893390202150567,0.016550610212099026,-0.037745326754072446,-0.027436543825415185,-0.024316431341705098,0.007639355160879463,0.01719089126605392,-0.01992625383802072,0.07112944987583014,0.01864362346884214,0.008542720719514703,0.008935821668979117,0.02036698020595121,-0.010811354964298385,-0.06498533907301769,0.03938815601604584,-0.012756859014091597,-0.02556627879762586,-0.0399184468197329,0.08032059688404249,-0.026824771264360715,-0.02033218575767529,-0.03928113147875202,0.01086116030845758,0.015901059151646073,0.029273528464930226,-0.0013143503962154911,0.01911783574979544,-0.011478959157845504,0.03731333519994288
Communication Services_PC2,-0.01525719170260711,-0.15898638035570067,0.6230687470744612,0.08920322900467881,-0.07740674404629182,0.16947226325257614,-0.032246430587238896,0.0392711503294137,-0.19974874837263115,0.28090817985063726,-0.027266676853021574,0.30716412374273444,0.027261119971653716,-0.15761106276442904,0.023555345340457095,-0.042515409363368756,-0.13766667373196936,-0.024121320239148075,0.1417365043920661,0.04333294639966473,0.143258352693823,0.015811883686002268,-0.034188289681880195,0.010750850998370087,-0.04160123472883891,-0.16299048529372714,-0.10767466194619632,-0.1183332616080536,0.1115873471908971,-0.09645719034888156,0.06050176663660391,-0.056847959398396014,-0.07233527415932564,-0.022825350395995085,-0.009163412263222238,0.009035220453200472,0.016744627941710614,-0.0337599065496115,-0.08704099553509449,0.02730429496716746,0.049674896853004434,0.041032972752206874,0.15400086118333658,0.0773872184236188,-0.02098798675814491,-0.06012470068820453,0.05459663111560772,-0.0492484258767014,0.09588464993221874,-0.027700991288157163,-0.08019866363721277,0.0328969091513761,-0.05625848650527491,0.06884628007086109,-0.04031731110556555,0.04079428273159187,0.01621875160242523,-0.029290080126155357,-0.02932884292211219,0.07330911758854057,-0.02601275223615556,-0.05629117166451166,0.009260728899947637
Communication Services_PC3,-0.013030198802550188,-0.1850402727662789,-0.16184445485403676,0.21385285840398105,0.502269565500126,0.30374968357773313,-0.007070761248864641,-0.018341842682318605,0.16417471302216186,-0.26200413262839223,-0.029867510851090368,0.06596187454483962,-0.014723897716579113,-0.13598145430122321,0.0733649424454798,0.1865699545448981,-0.1775330901004563,0.0005038237041884391,0.027405995487562142,0.07153715218053765,0.1074285144752146,-0.000861323987850272,-0.08122339122872928,-0.10707728272807808,-0.11901629464992362,-0.06973335053773215,-0.15801694717475098,-0.006607281172118506,0.15805491363351917,0.01861850964077597,-0.19667481770202844,-0.016888937343295354,-0.09972277699158948,0.14305098956869244,-0.00017464222658082412,0.0293567877187772,-0.0308109820986561,0.1282346226911101,-0.0005046058605058749,0.031508732929026,0.08174758610150064,-0.025338341749361046,0.11731268447434359,0.08617364084020822,0.10046673926803129,0.12036506551098515,-0.062456284574860056,-0.042363461820881305,0.11091524910238934,-0.011331135039485627,0.007496875379524685,-0.049257968062855026,-0.031211011115460784,0.05303290339275609,-0.007354517609293151,-0.07186995749106738,0.07050916682345555,0.05919165303298166,0.029770493715400057,0.030995335473371497,0.04566961551832855,0.08062494240360417,0.026861480458631272
Communication Services_PC4,0.03397438080067364,-0.21397661224782932,0.3915138261516111,0.06004437569580462,0.13436278645745942,-0.1396469719733073,-0.16288033064413332,-0.0067080887850489886,0.15673860561172306,-0.3077960304846271,-0.19653983997643604,-0.21361794269060802,-0.2883545878450089,0.08443707352612177,0.14513666716754065,0.009054766637051589,0.08308784085770037,-0.15453555994205093,0.051900592584110714,-0.013041588171157095,-0.11216815793765135,-0.1268367074490698,-0.10667729266831033,0.07452928057548114,0.14427434109269605,0.1605355049172641,0.15001214013340292,0.004265423281328641,-0.06664446179599706,-0.013613846317999868,0.26140026738995303,-0.028102403978298555,-0.06420944370591954,0.14875805026260136,0.11175960574426147,0.09666784602831743,0.06590980130149537,-0.07336859148004753,-0.012978049433038354,-0.049061004880574,0.1210327402418065,0.07371974322698525,-0.08498836205938214,-0.0931152167114039,-0.09765438234520625,0.03143392882950511,-0.01624756001305555,0.015095376240662761,0.0670721140126674,0.1005673059778915,0.012598649564938582,-0.028806317386543483,-0.00046006593924258796,0.009598893594980553,0.011256061290566124,-0.049579004551187245,-0.006957906702090577,0.043524635821642434,-0.00727840784335344,0.017230302939463923,0.047542448347609484,0.03271542247391556,0.045855364678173804
Communication Services_PC5,0.044229314369561866,-0.29378525438379727,-0.1199069260328012,-0.05324943486180162,0.09710425215251065,-0.20273398089368555,-0.24031969542374992,0.25572982301166053,-0.08074414580076855,0.16725120023858653,-0.29976599617063326,0.15296583357099774,-0.013940659087816703,0.07518787869114948,-0.17226007057241047,-0.00894437954081765,-0.004675818922105843,0.34178371530192064,-0.15919050238270765,-0.10677377582916954,-0.160796850990586,-0.18403916875012563,0.1289557477437868,0.0737638985062638,-0.0675778792207303,-0.11556312436819696,0.041746720197522943,0.030561100619251644,0.04479271553015447,0.0651713979203471,-0.03410968836066473,-0.08259222160518913,0.0700026662613001,0.08126792310972529,-0.11091059593768825,0.2188475017386336,0.021758930607454877,0.03454633350194115,0.004669984015992995,0.1473561383881896,-0.14707325340571215,0.10698943814362455,0.09509617587270648,-0.04828510831322543,-0.027655319590836492,0.05755686553552992,-0.10530056577120123,0.030633761518430287,0.07790581206369282,0.07496407464912458,-0.07636092847328722,-0.05806028980551005,0.004414022519357348,0.0025276921003616073,-0.0012328737368692527,-0.02639651371843992,0.021735100772082114,0.03970194503304124,0.03787426557996845,0.09677549615152083,0.007273978883583091,-0.04758259208685553,0.11473417378399751
Consumer Cyclical_PC1,0.8086197173238964,-0.1936605837069006,0.12932589801875333,-0.13634788781261578,-0.0827072269189557,-0.04682133810669306,-0.1406727445145152,-0.06260755662778524,-0.1463338888677248,-0.09903387469797138,0.09796861077370665,-0.0203331197190198,-0.12079847140940066,-0.12996952215902777,0.02175792117867295,-0.13337457982420425,-0.006667007935444814,0.12372138055861326,0.08241264023309461,0.04390041826700202,0.05817111876931496,0.043419992346360216,-0.05460176155741408,-0.0589611650524307,-0.015456102404635444,0.08569075316632022,0.043208484251880265,0.05789381180543193,0.03818922528910775,-0.01319059772011053,-0.02498687479061972,0.06530474304920585,-0.04921655300278735,-0.07643225899352038,-0.00884822341231232,0.04411625795319753,0.0018387386638471423,0.05277360028167154,0.02986876375737329,-0.020501757473911954,0.0426164259115078,-0.017692715222096648,-0.02424534825655095,-0.026971009296784677,0.03612550445327373,0.07664820619600335,0.028459590042549155,0.07534746973618675,-0.03703179245666096,-0.0017427163168612166,0.03219811650111585,0.009810127543871198,-0.009579638449552258,0.01682969670672747,-0.024488916940759404,0.06679062591367659,-0.02478767941150951,-0.007450311729451048,0.030935030967992404,-0.04438649190654566,0.040574409626643416,-0.007863110847913057,0.006124479424338426
Consumer Cyclical_PC2,-0.2011279571978174,0.4962390784774927,0.12840366669773587,0.030818642370649366,-0.12573594962818568,0.03649832281654802,-0.35626025663931904,-0.20462132371150588,-0.24991365333466922,-0.143801035596718,0.0502097434920067,-0.13244375745345421,-0.006034352689329983,-0.2303871334432682,-0.10831404953410774,-0.022815705472019,0.18692096661991917,0.24191874073063657,0.0367870452894065,0.09231718930380615,0.12824973649006552,0.04034701383601753,-0.10610231606984123,0.013348668252610055,0.015254077410699148,0.007858793345739455,0.00021076660208186972,0.09610697147972279,0.027926561233459966,-0.05790093837228259,-0.07443175121490812,-0.041473112670819295,-0.10081992182705331,-0.14561238297172485,-0.06807523751615789,0.0720443553410213,0.03138175403191475,0.05824078872642751,-0.05694698273559941,-0.06368147588687086,-0.09128394942125091,0.024954980240393703,-0.14814394115261628,0.025329300218939886,-0.07732355525473,-0.010117272103121104,-0.05536341674713236,0.10344648378431875,0.004543270154052185,-0.022026844305858287,0.011207599781627347,-0.06648995931381245,-0.06668877744444882,-0.042297223988407955,0.02088990083450997,0.05467702547947013,0.04968931671885067,0.026050544240850276,0.10245417842762526,0.0159362860576571,0.004241309707273704,0.03843625800950873,-0.07427448391565768
Consumer Cyclical_PC3,0.171539958395912,0.0978466445440774,-0.3196550871015281,0.5431419751733538,-0.25157516193936996,0.08827007448094648,-0.09799456404738714,-0.31715486014821187,0.03293232017574142,0.21591504341645706,-0.09515822870799445,-0.022320287775920288,0.02440770651189717,0.09832118291066089,0.003767652833944597,0.0018839042668398706,-0.011288511957425282,-0.0032768680806116095,0.03756759441300148,-0.025084604149272223,0.01014490481729629,-0.08524106311968427,0.1833879639418924,-0.038620641000121546,-0.05932985729698303,-0.07837794237003065,-0.08884763201586603,-0.1220820613360504,-0.03960014219960099,-0.060902564598001536,0.06397889173662667,0.08706709287485039,0.04655587466715141,-0.10913677624829679,0.07563862996508791,0.01852047266893882,0.18289436287200503,0.058867449408195,0.13352239654381315,0.07172460975530284,0.18872839572129133,0.014233440243936957,-0.08523558006070732,0.010571451940786975,-0.012783983363999723,-0.0008631183101033325,0.040217208333128696,-0.05293780924553711,-0.06866940701056959,0.09823565404740929,-0.016793621331319168,-0.00015848505478419442,-0.1020590461568288,0.07995671464673167,-0.01829212464674183,-0.05911580923905237,-0.04339053566435756,0.032203158848960044,-0.06387287362655479,-0.0250766404137085,-0.027853220609150523,0.07549434855066753,0.03781058363478292
