,Financial Services_PC1,Financial Services_PC2,Financial Services_PC3,Financial Services_PC4,Financial Services_PC5,Financial Services_PC6,Financial Services_PC7,Financial Services_PC8,Financial Services_PC9,Financial Services_PC10,Financial Services_PC11,Financial Services_PC12,Financial Services_PC13,Financial Services_PC14,Financial Services_PC15,Financial Services_PC16,Financial Services_PC17
ICICIPRULI.NS,0.5148408606806633,0.21057725878864772,0.6366332632821702,0.2285681979747045,0.06762735167364155,0.01408477530512016,-0.11381737940423782,0.08689243120555841,0.10556289428260192,0.15400602164275046,-0.03137876325404961,0.23182978798974543,-0.1281229804826208,-0.006297298387944442,0.1549058203435407,0.059867773955731285,-0.11385769827902179
CHOLAFIN.NS,0.5657441327225714,0.5012547422507079,-0.36664189896499,0.02866491366798167,0.17136168811022956,-0.16025223007208564,0.006542967139690245,0.0049865946836804235,-0.09788342077863796,-0.14951863440950977,0.05357596394127482,0.24229111367273307,-0.04491111210961539,-0.2646685107481772,0.0300898148144564,-0.07350517765902428,0.021050839720636733
MUTHOOTFIN.NS,0.5988877905107436,0.19725893746284637,0.17302303686197204,-0.29430413224199853,-0.34565437106698993,-0.16656833097451118,0.28250320810170965,0.06791021005317628,0.02417167077412437,0.19665560724487974,0.3165423029687676,0.17870589003336876,-0.15403893419475745,-0.026894537965753352,0.054521558506106425,0.11752998748412641,0.11500268029432158
MANAPPURAM.NS,0.5780845655387445,-0.15564248847014608,0.16506925155230456,-0.33729457673237623,-0.2570398267344837,0.007454988304994963,0.252627634589387,0.18211881700215857,0.40853318561897994,-0.3075539540238006,-0.07432109886675937,-0.0720646908879576,-0.11123022861638146,-0.008242876482976823,-0.11873457218715514,0.030925991027196287,-0.14070582342176763
LICHSGFIN.NS,0.6733538089250831,-0.22576480852028974,-0.25183895421234814,-0.13343794088292155,0.3006042056253873,0.09893453318000557,-0.12983945872372082,0.027889263937357706,0.17703983867705772,0.09062257877333832,0.11644802270941017,-0.23291495964587608,0.08341390405728666,-0.020998034042153904,0.22994428374070658,0.33529089720205946,-0.0426971382186075
PEL.NS,0.5774015457084009,0.03518047171636269,0.2872065380460629,0.036069850706272055,0.054384088695355035,-0.3590808517222212,-0.12295544667889848,0.5349769398854383,-0.1875722964438968,0.018018416895558737,0.08340900675226404,-0.17718944800658432,0.06445870714102543,0.17300155930272332,-0.0025128186113754065,-0.08444599412747938,0.0851765728509876
M&MFIN.NS,0.6260118814160097,0.2912136454629005,-0.14531600149869903,0.11118377985500943,0.27803695942071094,0.19442935769730108,0.16799149850135214,0.30556669601797404,-0.15069753990609533,-0.1430148856891726,-0.2700575298190008,-0.11245804618220281,-0.21905427516513423,-0.14394186554197572,0.04098710194438124,0.07772525210305768,0.14993496964172018
IDFCFIRSTB.NS,0.7042057188640657,0.11742524678502733,-0.18933967089867978,-0.27160442211588764,0.05900361534755432,-0.015006705860524794,-0.011517900269022815,0.1319733821295297,0.21902501756516163,0.3683690718815404,-0.11552779027134032,-0.074159265469752,0.14007267254636493,-0.17194136525521905,-0.020383278625650217,-0.28088907004652347,-0.039951164720533304
BANDHANBNK.NS,0.5361637857529421,0.11649730785739137,-0.2532475696287826,0.21223338417353146,0.5704658685968628,-0.1389184073949787,0.1182453500633741,0.04244569859463521,0.12956591112279933,-0.10725701406562356,0.23827222678243554,0.12873300947119662,0.016355228217223503,0.23988940269063536,-0.1996273431674145,-0.026806932129980234,-0.10779389490734097
FEDERALBNK.NS,0.536280196164669,-0.41566120771253456,-0.1122077253054455,0.3856856320156313,-0.1720554375811916,-0.09457693872080071,-0.01493523529891008,0.14519043995411643,0.25323933251725955,-0.012728712319720906,-0.19627570252590176,0.2635503520281688,0.2965194027955753,-0.053353717849255404,-0.0759754478968347,0.12492430245045025,0.16277950059010232
