,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57
IGL.NS,0.4614876526050724,0.20699308127624305,0.049955227178798814,0.19018902550752056,0.26383535697593563,-0.13614344846947346,0.032108194596731456,0.013897284336787405,0.16578801699379375,-0.20022393200402308,-0.26773844785902773,-0.31755494410973584,0.24720052174388385,0.019877047476012488,-0.1728610093502369,-0.028292708056165478,-0.17579600264983214,0.026299654076013774,-0.012451204295503055,-0.1347213844522184,0.043289278863939476,0.09486193623975127,0.05155325439850031,-0.14270388244498358,-0.00830523827693808,0.10265475405919597,0.1425091586693184,0.003785628894648936,-0.018909325273974334,0.029043518075021646,0.11658017659907276,-0.020268037862355245,0.0053291733922119135,0.08703847183704314,-0.03668308898326294,-0.1822860559243674,-0.009916162719239048,-0.060877589384098006,-0.16309754525874223,0.0156712207105027,0.06863759301961227,-0.040864996058831905,0.02118905526030904,0.009425227751807132,-0.03490011544089951,-0.05478852222581603,0.04627931572960253,0.0024075054345576454,0.028533028539687002,-0.11255300771756413,0.021191754921614205,0.0001592444087380599,-0.03828636182736485,0.059653435404315974,-0.04811015888709859,0.011975368052001096,0.07669336998009056
MGL.NS,0.604223564442926,-0.06533180609953211,0.16915726914928525,0.2810893151783604,0.3032741299951559,-0.03142351551645377,-0.0382350107732742,-0.09700964156594682,0.08529100949170468,-0.15531063173221674,-0.15990145509179682,-0.1641778399661108,0.11223490601290914,-0.010114167267716566,-0.17356199242022943,-0.1664867221146153,-0.0015451747902204222,0.06894619721066571,-0.02023732044172835,0.08962564452349334,-0.03297274928711751,0.17103894215808416,0.04560439352109073,-0.1639229357747103,-0.01478226616885709,-0.07087818604989486,0.21827704028185663,0.08093388805263772,0.014903466522823905,0.03648333620679615,0.02828647421232194,0.10301938666698966,0.0851150737257735,0.10605183909531818,-0.039113350121951856,0.010040238986141429,0.06058171596187316,0.03978522081145598,-0.13641667452600534,-0.04868869680692895,0.047250023634092635,-0.05290855628474618,-0.06011502422446544,0.04148900769014058,0.04521777520795054,0.003252068530463093,0.03921329240071129,-0.03277777607043582,-0.040827313937008745,-0.0779969117757561,0.051880691295390545,-0.01080653536280093,-0.05237642299941368,-0.02663550662338775,0.02872376574933571,-0.0016097250713584797,-0.0008920869131728259
CASTROLIND.NS,0.5754113691581244,-0.09211052388719375,0.11817841702767405,0.16399120761467897,-0.1278984071880883,0.017804464784636542,0.13242174429665438,-0.18304109796842583,0.17901770879163326,-0.23465196911723618,-0.1524744003488096,-0.04067174069232857,0.014042229174201877,-0.287944190860089,-0.2452545923794941,0.11156212140299761,0.10991366906517012,-0.16923093053593727,0.12637642318316603,0.040862664148677515,-0.007825244049390941,0.06020074026728554,-0.08780537267112114,0.06673003422259594,0.06832213372493208,-0.007547393329281576,-0.1508104624714244,-0.11001517147569366,-0.08366086981878522,-0.07770260156060643,-0.1211094265234045,-0.040052307864897,-0.02067746500587182,-0.06298605160514664,-0.028599423960851765,0.0299203469008425,0.0430424808794614,-0.05141700770515758,0.004708534493271536,-0.12210915733090756,-0.009641844169603559,-0.02274571659913868,-0.020897458570421613,0.11549123708803997,-0.009503169593619536,-0.10090076991836186,0.13596286724951118,-0.03899058068897601,0.029393452185441756,-0.01970042572842701,-0.06810604164903698,-0.012299610612682638,0.011661868826882943,0.02833796169675321,0.036426395751171285,-0.06411567183838049,-0.11885603215188296
TATASTEEL.NS,0.44411687699723656,-0.1663353414544685,-0.18623687396426614,-0.3522604565553801,0.34603105771884113,-0.05535310787729719,0.04773418037808581,-0.01639225955554125,-0.032912772296566424,-0.12981842904864335,0.2209165087498934,-0.05001169857539432,0.05824212005228244,-0.11916356569723553,-0.18673243499576317,-0.06170865612803778,0.11943272446044303,0.06119380917176954,0.04372108604701361,0.2757673733245235,0.0323031429743542,0.08259716444377357,0.16262057871718483,0.028454862073424434,0.041285231937255085,0.1320432947678107,-0.10303331593129848,-0.056123911754892765,-0.12595317642843132,-0.19211741985403732,0.14439184961760101,0.09147838486157545,-0.0807359472280098,-0.013508871343987986,-0.03516836977419182,-0.012096130148078869,-0.04257167715441812,0.04582017180811423,-0.03888298020847899,0.15492304348735156,0.12693266789348126,-0.05286835211566626,0.021224490205523933,-0.038179584872812984,0.05377724591886275,-0.036204142826076445,0.03284756377424001,0.02852817368680569,0.008349049305112205,-0.035979921279152144,-0.08038278433975457,0.018154849671497462,0.007308339376460826,-0.007402428924615814,-0.05955777911873219,-0.02280977753575593,-0.03164140591717055
JSWSTEEL.NS,0.6015629432247469,0.03511782991196761,-0.2254057165041022,-0.3387401142490456,0.416284097357053,0.024043654477030735,0.16144685874303039,-0.13571646491929326,0.08566773317600543,-0.09083359638829838,0.0517352779331645,-0.01161284194954844,-0.08537043314128842,0.017684235016867073,-0.0011830777283250017,0.032903161090580405,-0.02929490385360549,0.028477166707608075,-0.10998999025765355,0.152064391370979,0.04110345169037418,0.11900589175604846,0.05842999475036927,-0.050976604106234044,0.12149081475046705,-0.05196133978471573,-0.13427764521593463,-0.08342008801972153,-0.0273251077314895,-0.05707423489082688,0.026343483874851026,-0.004342135627604584,0.04894536455931841,-0.04217831065558537,-0.11337262569077529,0.08364988612820703,0.07282965824349756,-0.018045513839448586,-0.04511665022568661,-0.008857914401871675,0.05113348719764995,0.1446866891753209,0.029037036850750812,0.01506973733886404,0.003864393346448843,-0.04133624559592467,-0.06592932291111213,-0.021562153762558742,-0.024473030461732957,0.08562622626912854,-0.037546697221789854,-0.03240776031552212,0.04091166894574902,-0.027681344367783398,0.0016328983560113548,-0.0486412278195233,-0.0003636735652454694
HINDALCO.NS,0.5017901619468369,-0.02324071248471523,-0.1278871273613937,-0.47175736395757634,0.2981648102936521,0.12057210515050074,0.09841575536455732,0.2983976934549806,0.10563126147399454,-0.015087634272400403,-0.08276545998801865,0.059761341752649105,-0.1969581326305172,-0.24859493465523483,0.050037357938860945,0.06267798399819334,-0.042752801863275326,-0.04617007804792285,0.03231640046819768,0.08730942690099258,-0.07009693865774215,0.026911476421679473,0.13002770342748524,-0.07734389675813214,-0.005464535950364548,0.09548667753691614,-0.07546504893831278,-0.05365836081651387,-0.038322702359899916,0.07501334351730646,0.05248089585814799,-0.04176963400216606,-0.1178621150128347,-0.0579686219464355,0.004016273016210054,0.060003157738031054,0.11680604119003914,0.004804948978826071,-0.05936634258737102,-0.016574198050317537,-0.017920618633412908,-0.0373916616964466,-0.02090024099193626,-0.015926529228624288,-0.0016274845679805456,0.011383191255823863,-0.014059889353237248,0.03460460495695221,-0.08578682715526882,0.044967757558519325,-0.041937038542259,-0.015236814807688332,0.00866950995018982,-0.04411182587046121,-0.06678644648500172,-0.016497116115733807,0.003594589603496118
JINDALSTEL.NS,0.5267674905575644,-0.19391185497422597,-0.15894890415765403,-0.4396581143118334,0.3381926602944287,0.011652492261345297,0.16589937600415178,0.06685081758383388,0.18361835742145102,-0.11909711414338976,0.026987907230227325,-0.042069890989911866,0.0017987430353222677,-0.008697118784451506,0.10459935911336467,0.06924230374927223,0.0657260809813743,-0.07867362566711311,-0.08659176909565258,0.1681739539262687,0.12432523370383994,-0.05072666394441784,-0.025809450555381683,0.012578730240049515,0.0028281728733442093,0.11217821383232504,0.08677248690149802,0.03881427630384082,0.11654624484947648,-0.005252456420823064,0.03681000723877007,-0.039137641925648364,0.17127901555816924,0.020353522229805,-0.051150578504701845,-0.07396534542693546,-0.06880188836165341,-0.02920266383443903,0.005231738770656015,0.034742834178622624,-0.026491199637714537,-0.03563595936430586,0.08461620431339219,0.01250355108912003,-0.055570029448202864,0.024360678788574872,0.06992497569718346,0.008081979175157213,0.10694385383779759,0.07276317938850942,0.02413435681131782,0.030977601283570584,-0.0869018618426503,0.0192550367275961,-0.09234177636817835,0.005116357262051378,-0.06401469018758658
HINDZINC.NS,0.423050941956652,-0.10234255987131852,-0.2671844660855759,-0.2792370682326811,0.22083960522979285,-0.23231926146710202,-0.06553865956434726,0.07109393908277532,0.30423062764539677,0.0014052824582820283,-0.1704593855710852,-0.13536617468794573,-0.11845285427921007,0.0016369437581567265,0.21853958604512633,0.1502862185524893,-0.1982776413466545,0.03436515715570849,0.07348648063423927,-0.22521799670016687,0.07691131828456461,-0.005599170057363021,-0.0016490478271981167,0.01631751365870613,0.07096360428592854,0.03692335390831569,-0.01871080633360357,0.046678560092213425,0.02601974831627117,0.1035279889729108,-0.038504297405969126,0.035025735091005476,0.08276874544883404,0.15209501422543742,0.18613966911737181,0.08636427993925704,-0.0003266066690969481,0.01833100271770454,0.05066505999374815,-0.06303698560103344,0.0182044480820168,0.010728148471353024,-0.09996195010029114,-0.03311496722964099,0.005959936512990716,-0.0954814005727158,-0.08256615679599175,0.020729319528179448,-0.09677529696299607,-0.0030580937649034505,-0.01048232739518853,0.07733528830111631,-0.021533866779555867,0.1119062950227975,0.06585784847370114,0.048919433032721,-0.06498069143050443
VEDL.NS,0.4598325283623767,-0.06710900151704524,-0.07933508477467204,-0.324310727751638,0.4889234570289677,0.019033804619934345,-0.06237981249237175,0.28201126640602736,0.16142444684840396,0.1007198594436978,-0.04668171773098904,-0.08647689420323315,-0.10779625011301697,0.09788093991282984,0.06608726489287955,0.17202153401543333,0.08847033654103455,0.1296305187851543,-0.017755477742627285,-0.25718102586696845,0.01667412831396441,-0.014947683323109695,-0.10500213358885496,-0.00719337999000938,0.038979700338147065,-0.01983638123485164,0.019061631076372838,-0.013954886843140652,-0.005592353381086306,0.2182254056823037,-0.0088268938880473,-0.04442784571297054,0.04985120979133848,-0.04083965739865731,-0.04527460636201671,0.07978323157120558,-0.04228859564896993,-0.03931902417608309,0.04565574553877045,-0.013259762124467622,-0.08478707629288439,-0.02922969615299259,-0.0537491475222652,-0.03103611218783038,0.005773182837503598,-0.0009650320566738312,-0.0652490282256085,-0.03876603908191454,-0.05998413994152766,0.01981611397179646,-0.10467900375945327,0.008466843390476706,-0.03106323518364609,0.03708714662523863,-0.014961481921183371,-0.049601688478266,0.02577347888882632
SAIL.NS,0.66984142504967,-0.2324262856990454,0.018992118760234662,-0.3999652272155087,0.3185789009562721,-0.02851194771182988,0.026522737248623755,-0.010536629398601465,0.11786866502991404,-0.14869877937727954,-0.005955494395597657,-0.06090268906581343,-0.037267105248554575,-0.019498896257548276,-0.04226775357851279,-0.06771659293241356,-0.0023663675808781076,0.10217075502925081,0.09450261797410493,-0.04265380763281339,0.15120631444908522,0.02426442248543989,0.05772757958444863,0.04777718598366277,0.04434894204832521,-0.1337254818058333,-0.05942195613727716,-0.06147759262562459,-0.027697609372456914,-0.05249107559007968,0.03617316481581935,-0.06759087063583945,-0.022475771740316657,-0.0989598406523977,-0.043696204368154974,-0.04241701022944838,-0.06007566440087076,-0.03125679739196099,1.9280518355315654e-06,0.058387737674360576,-0.005144320809524878,-0.07099865415393915,-0.0021648325001018417,0.05506797436613333,0.032275621075669954,-0.011110306589794802,0.03684229044471009,0.021760381699395315,-0.08335964869671356,-0.055572132391567566,0.035964711031587916,0.017651060273499438,-0.022879365261590713,-0.030028867996855477,-0.022855241566925446,0.040944987372215726,-0.06719538764337961
