ticker,company_name,market,sector,industry,market_cap,avg_volume,beta
POWERGRID.NS,POWER GRID CORP. LTD.,NIFTY100,Utilities,Utilities - Regulated Electric,2691593404416.0,17033055.278675284,0.297
ADANIPOWER.NS,ADANI POWER LTD,NIFTY100,Utilities,Utilities - Independent Power Producers,1966846640128.0,12148483.508077545,0.205
TATAPOWER.NS,TATA POWER CO LTD,NIFTY100,Utilities,Utilities - Independent Power Producers,1133866385408.0,25546471.29806139,0.61
TORNTPOWER.NS,TORRENT POWER LTD,NIFTY100,Utilities,Utilities - Independent Power Producers,754266406912.0,1038955.1607431341,0.466
NHPC.NS,NHPC LTD,NIFTY100,Utilities,Utilities - Renewable,829615177728.0,24166313.273828756,0.219
SJVN.NS,SJVN LTD,NIFTY100,Utilities,Utilities - Renewable,349398532096.0,11596904.283521809,0.358
JSWENERGY.NS,JSW ENERGY LIMITED,NIFTY100,Utilities,Utilities - Independent Power Producers,852341030912.0,3224521.786752827,-0.272
CESC.NS,CESC LTD,NIFTY100,Utilities,Utilities - Regulated Electric,198276644864.0,5058463.378029079,0.497
TATACHEM.NS,TATA CHEMICALS LTD,NIFTY100,Basic Materials,Chemicals,203932172288.0,2319751.321486268,0.537
DLF.NS,DLF LIMITED,NIFTY100,Real Estate,Real Estate - Development,1505458782208.0,7214256.211631664,0.341
GODREJPROP.NS,GODREJ PROPERTIES LTD,NIFTY100,Real Estate,Real Estate - Development,580428693504.0,906173.2802907916,0.635
PRESTIGE.NS,PRESTIGE ESTATE LTD,NIFTY100,Real Estate,Real Estate - Diversified,456703016960.0,906431.5096930533,0.215
OBEROIRLTY.NS,OBEROI REALTY LIMITED,NIFTY100,Real Estate,Real Estate - Development,540147712000.0,821657.1235864297,0.315
SOBHA.NS,SOBHA LIMITED,NIFTY100,Real Estate,Real Estate - Development,117180211200.0,476576.90630048467,0.663
IBREALEST.NS,"IBREALEST.NS,0P0000BZQI,5747902",NIFTY100,Unknown,Unknown,,10755477.806138935,
SUNTECK.NS,SUNTECK REALTY LIMITED,NIFTY100,Real Estate,Real Estate - Development,52889849856.0,642987.2932148627,0.437
PHOENIXLTD.NS,THE PHOENIX MILLS LTD,NIFTY100,Real Estate,Real Estate - Diversified,553552904192.0,629624.2455573506,0.389
